index,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,HolidayName,IsHoliday,Accumulated Hours of Rain
65,413.4,31.0,37.3,155.7,27.22,68.0,100,0.0,1017.0,88.0,18.9,0.0,1.33,Ngày thường,False,0
66,430.7,33.0,36.0,160.0,27.97,74.0,100,0.0,1017.0,88.0,18.8,0.0,1.0,Ngày thường,False,0
67,431.3,32.0,36.3,152.3,26.65,68.0,100,0.0,1016.0,90.0,18.6,0.0,1.0,Ngày thường,False,0
68,431.9,31.0,36.7,144.7,25.33,62.0,100,0.0,1016.0,92.0,18.4,0.0,1.0,Ngày thường,False,0
69,432.4,30.0,37.0,137.0,24.01,56.0,100,0.0,1015.0,93.0,18.2,0.0,1.0,Ngày thường,False,0
70,402.5,26.3,40.7,130.3,22.85,48.3,91,0.0,1016.0,94.0,18.1,0.0,1.0,Ngày thường,False,0
71,372.5,22.7,44.3,123.7,21.7,40.7,83,0.0,1016.0,95.0,18.1,0.0,1.0,Ngày thường,False,0
72,342.6,19.0,48.0,117.0,20.54,33.0,75,0.0,1017.0,96.0,18.0,0.6,1.0,Ngày thường,False,0
73,297.6,15.0,60.7,97.7,17.16,26.3,75,0.0,1017.0,94.0,19.0,0.7,1.33,Ngày thường,False,0
74,252.7,11.0,73.3,78.3,13.78,19.7,75,0.0,1017.0,91.0,20.0,2.2,1.66,Ngày thường,False,0
75,207.8,7.0,86.0,59.0,10.4,13.0,75,0.0,1018.0,88.0,21.0,2.3,2.0,Ngày thường,False,0
76,192.4,5.7,90.0,55.3,9.73,12.0,70,0.0,1017.0,83.0,22.2,3.7,2.33,Ngày thường,False,0
77,177.0,4.3,94.0,51.7,9.08,11.0,66,0.0,1016.0,79.0,23.4,3.8,2.66,Ngày thường,False,0
78,161.7,3.0,98.0,48.0,8.41,10.0,62,0.0,1015.0,74.0,24.6,3.9,3.0,Ngày thường,False,0
79,171.0,4.7,92.3,54.3,9.57,13.0,75,0.0,1015.0,75.0,23.9,3.3,3.0,Ngày thường,False,0
80,180.3,6.3,86.7,60.7,10.72,16.0,87,0.0,1015.0,75.0,23.3,2.3,3.0,Ngày thường,False,0
81,189.7,8.0,81.0,67.0,11.88,19.0,100,0.0,1015.0,75.0,22.6,1.6,3.0,Ngày thường,False,0
82,219.4,10.0,73.7,70.7,12.46,22.3,100,0.0,1016.0,79.0,21.6,1.2,2.66,Ngày thường,False,0
83,249.2,12.0,66.3,74.3,13.04,25.7,100,0.0,1016.0,83.0,20.7,0.0,2.33,Ngày thường,False,0
84,279.0,14.0,59.0,78.0,13.61,29.0,100,0.0,1016.0,88.0,19.7,0.0,2.0,Ngày thường,False,0
85,304.8,14.0,57.0,69.7,12.13,31.3,100,0.0,1017.0,88.0,18.7,0.0,3.33,Ngày thường,False,0
86,330.7,14.0,55.0,61.3,10.64,33.7,100,0.0,1017.0,88.0,17.7,0.0,4.66,Ngày thường,False,0
87,356.6,14.0,53.0,53.0,9.16,36.0,100,0.0,1018.0,89.0,16.7,0.0,4.995,Ngày thường,False,0
88,360.1,14.0,52.7,53.7,9.32,38.3,100,0.0,1018.0,89.0,16.3,0.0,5.33,Ngày thường,False,0
89,363.6,14.0,52.3,54.3,9.49,40.7,100,0.0,1018.0,89.0,15.8,0.0,4.66,Ngày thường,False,0
90,367.1,14.0,52.0,55.0,9.65,43.0,100,0.0,1018.0,90.0,15.4,0.0,4.0,Ngày thường,False,0
91,362.6,14.0,51.0,55.7,9.73,42.7,87,0.0,1018.0,91.0,15.1,0.0,3.66,Ngày thường,False,0
92,358.1,14.0,50.0,56.3,9.82,42.3,75,0.0,1018.0,92.0,14.7,0.0,3.33,Ngày thường,False,0
93,353.7,14.0,49.0,57.0,9.9,42.0,62,0.5,1018.0,93.0,14.4,0.0,3.0,Ngày thường,False,1
94,348.2,13.0,48.3,58.7,10.23,39.7,66,1.75,1018.0,93.0,14.2,0.0,3.33,Ngày thường,False,2
95,342.8,12.0,47.7,60.3,10.56,37.3,70,2.5,1019.0,93.0,14.0,0.0,3.66,Ngày thường,False,3
96,337.3,11.0,47.0,62.0,10.89,35.0,75,2.25,1020.0,93.0,13.8,0.6,4.0,Ngày thường,False,4
97,329.0,10.3,49.3,57.7,10.15,32.0,66,0.75,1021.0,91.0,14.0,0.7,3.66,Ngày thường,False,5
98,320.6,9.7,51.7,53.3,9.4,29.0,58,0.25,1022.0,90.0,14.1,1.0,3.33,Ngày thường,False,6
99,312.2,9.0,54.0,49.0,8.66,26.0,50,1.75,1022.0,89.0,14.3,1.5,3.0,Ngày thường,False,7
100,310.9,9.0,55.0,49.0,8.66,24.7,58,0.0,1022.0,85.0,14.6,1.9,3.0,Ngày thường,False,0
101,309.5,9.0,56.0,49.0,8.66,23.3,66,0.25,1021.0,81.0,15.0,2.1,3.0,Ngày thường,False,1
102,308.1,9.0,57.0,49.0,8.66,22.0,75,0.5,1021.0,78.0,15.3,2.0,3.0,Ngày thường,False,2
103,311.1,9.3,56.0,51.0,8.99,22.7,66,0.0,1021.0,75.0,15.5,1.6,3.0,Ngày thường,False,0
104,314.0,9.7,55.0,53.0,9.32,23.3,58,0.25,1020.0,73.0,15.8,1.1,3.0,Ngày thường,False,1
105,316.9,10.0,54.0,55.0,9.65,24.0,50,0.0,1020.0,71.0,16.0,0.8,3.0,Ngày thường,False,0
106,322.7,11.0,53.3,59.3,10.4,26.0,66,0.0,1020.0,74.0,15.8,0.7,2.33,Ngày thường,False,0
107,328.6,12.0,52.7,63.7,11.14,28.0,83,0.0,1021.0,76.0,15.6,0.0,1.66,Ngày thường,False,0
108,334.4,13.0,52.0,68.0,11.88,30.0,100,0.0,1021.0,79.0,15.4,0.0,1.0,Ngày thường,False,0
109,337.1,13.3,53.7,70.0,12.29,33.0,100,0.0,1021.0,82.0,15.4,0.0,1.33,Ngày thường,False,0
110,339.8,13.7,55.3,72.0,12.7,36.0,100,0.75,1022.0,85.0,15.3,0.0,1.66,Ngày thường,False,1
111,342.6,14.0,57.0,74.0,13.12,39.0,100,0.25,1022.0,89.0,15.3,0.0,2.0,Ngày thường,False,2
112,343.0,14.7,59.0,74.7,13.2,41.7,100,0.0,1022.0,88.0,15.3,0.0,2.0,Ngày thường,False,0
113,343.4,15.3,61.0,75.3,13.28,44.3,100,0.0,1022.0,87.0,15.4,0.0,2.0,Ngày thường,False,0
114,343.7,16.0,63.0,76.0,13.36,47.0,100,0.0,1022.0,86.0,15.4,0.0,2.0,Ngày thường,False,0
115,338.1,15.7,64.3,73.7,12.95,46.0,100,0.0,1022.0,87.0,15.3,0.0,2.0,Ngày thường,False,0
116,332.5,15.3,65.7,71.3,12.54,45.0,100,0.0,1022.0,88.0,15.3,0.0,2.0,Ngày thường,False,0
117,326.8,15.0,67.0,69.0,12.13,44.0,100,0.0,1021.0,89.0,15.2,0.0,2.0,Ngày thường,False,0
118,334.0,15.3,63.0,66.7,11.71,43.0,100,0.0,1022.0,88.0,15.2,0.0,2.0,Ngày thường,False,0
119,341.2,15.7,59.0,64.3,11.3,42.0,100,0.0,1022.0,88.0,15.2,0.0,2.0,Ngày thường,False,0
